transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000053020.7,Neurl1b-201,ENSMUSG00000034413,Neurl1b
ENSMUST00000055688.9,Phf13-201,ENSMUSG00000047777,Phf13
ENSMUST00000018506.12,Kpna2-201,ENSMUSG00000018362,Kpna2
ENSMUST00000089011.5,Snn-201,ENSMUSG00000037972,Snn
ENSMUST00000053063.6,Hexim1-201,ENSMUSG00000048878,Hexim1
ENSMUST00000023686.14,Tmem50b-201,ENSMUSG00000022964,Tmem50b
ENSMUST00000019333.9,Rnf145-201,ENSMUSG00000019189,Rnf145
ENSMUST00000056406.6,Fam78a-201,ENSMUSG00000050592,Fam78a
ENSMUST00000131422.7,Dna2-203,ENSMUSG00000036875,Dna2
ENSMUST00000236905.1,Gm50321-201,ENSMUSG00000118383,Gm50321
ENSMUST00000052839.6,Efnb1-201,ENSMUSG00000031217,Efnb1
ENSMUST00000110855.7,Lpgat1-201,ENSMUSG00000026623,Lpgat1
ENSMUST00000029183.2,Fam83d-201,ENSMUSG00000027654,Fam83d
ENSMUST00000043604.5,Gna11-201,ENSMUSG00000034781,Gna11
ENSMUST00000108023.9,Ccne1-201,ENSMUSG00000002068,Ccne1
ENSMUST00000024123.8,Agap3-201,ENSMUSG00000023353,Agap3
ENSMUST00000054920.4,Myorg-201,ENSMUSG00000046312,Myorg
ENSMUST00000032888.9,Arl6ip1-201,ENSMUSG00000030654,Arl6ip1
ENSMUST00000082392.1,mt-Nd1-201,ENSMUSG00000064341,mt-Nd1
ENSMUST00000092404.12,Srsf2-201,ENSMUSG00000034120,Srsf2
ENSMUST00000031144.13,Tmem165-201,ENSMUSG00000029234,Tmem165
ENSMUST00000033578.6,Magee1-201,ENSMUSG00000031227,Magee1
ENSMUST00000057893.6,Fzd2-201,ENSMUSG00000050288,Fzd2
ENSMUST00000039026.7,Apln-201,ENSMUSG00000037010,Apln
ENSMUST00000037915.8,Msl1-201,ENSMUSG00000052915,Msl1
ENSMUST00000081869.6,Tor4a-201,ENSMUSG00000059555,Tor4a
ENSMUST00000104999.3,Nrarp-201,ENSMUSG00000078202,Nrarp
ENSMUST00000231663.1,Gm49708-202,ENSMUSG00000116656,Gm49708
ENSMUST00000080065.2,Slc27a4-201,ENSMUSG00000059316,Slc27a4
ENSMUST00000097921.9,Cdkn2c-202,ENSMUSG00000028551,Cdkn2c
ENSMUST00000043050.8,Chst12-201,ENSMUSG00000036599,Chst12
ENSMUST00000172306.2,Dusp7-201,ENSMUSG00000053716,Dusp7
ENSMUST00000118174.7,Phtf2-201,ENSMUSG00000039987,Phtf2
ENSMUST00000079252.12,Ipmk-201,ENSMUSG00000060733,Ipmk
ENSMUST00000028346.3,Fam166a-201,ENSMUSG00000026969,Fam166a
ENSMUST00000086423.5,Gm10184-201,ENSMUSG00000066878,Gm10184
ENSMUST00000061859.6,D17H6S53E-201,ENSMUSG00000043311,D17H6S53E
ENSMUST00000095383.5,Tmem263-201,ENSMUSG00000060935,Tmem263
ENSMUST00000021370.9,L2hgdh-201,ENSMUSG00000020988,L2hgdh
ENSMUST00000075853.5,Cks2-201,ENSMUSG00000062248,Cks2
ENSMUST00000068700.6,Wdr6-201,ENSMUSG00000066357,Wdr6
ENSMUST00000023562.8,Tmem41a-201,ENSMUSG00000022856,Tmem41a
ENSMUST00000159916.4,Prrt2-201,ENSMUSG00000045114,Prrt2
ENSMUST00000195193.1,Gm38287-201,ENSMUSG00000103217,Gm38287
ENSMUST00000065086.5,Gas1-201,ENSMUSG00000052957,Gas1
ENSMUST00000043584.4,Tubb4b-201,ENSMUSG00000036752,Tubb4b
ENSMUST00000082396.1,mt-Nd2-201,ENSMUSG00000064345,mt-Nd2
ENSMUST00000081079.5,Entpd7-201,ENSMUSG00000025192,Entpd7
ENSMUST00000045550.4,Xkr8-201,ENSMUSG00000037752,Xkr8
ENSMUST00000114513.8,Gls-204,ENSMUSG00000026103,Gls
ENSMUST00000094004.4,Abhd15-201,ENSMUSG00000000686,Abhd15
ENSMUST00000168386.8,Prr36-201,ENSMUSG00000064125,Prr36
ENSMUST00000004868.5,Mtfp1-201,ENSMUSG00000004748,Mtfp1
ENSMUST00000067327.10,Cdkn1b-202,ENSMUSG00000003031,Cdkn1b
ENSMUST00000019143.8,Slc35b4-201,ENSMUSG00000018999,Slc35b4
ENSMUST00000055436.4,Hpdl-201,ENSMUSG00000043155,Hpdl
ENSMUST00000046975.11,Pcgf3-201,ENSMUSG00000033623,Pcgf3
ENSMUST00000052140.2,Haspin-201,ENSMUSG00000050107,Haspin
ENSMUST00000075888.5,Zic2-201,ENSMUSG00000061524,Zic2
ENSMUST00000194508.1,Gm36936-201,ENSMUSG00000102411,Gm36936
ENSMUST00000042701.12,Mxd4-201,ENSMUSG00000037235,Mxd4
ENSMUST00000082419.1,mt-Nd6-201,ENSMUSG00000064368,mt-Nd6
ENSMUST00000061390.8,Fkrp-201,ENSMUSG00000048920,Fkrp
ENSMUST00000036267.7,Chst2-201,ENSMUSG00000033350,Chst2
ENSMUST00000201489.3,N4bp2-204,ENSMUSG00000037795,N4bp2
ENSMUST00000117394.1,Taok2-202,ENSMUSG00000059981,Taok2
ENSMUST00000201855.1,Vkorc1l1-203,ENSMUSG00000066735,Vkorc1l1
ENSMUST00000115110.4,Hyls1-201,ENSMUSG00000050555,Hyls1
ENSMUST00000225172.1,Gm48488-203,ENSMUSG00000114433,Gm48488
ENSMUST00000149978.1,Inafm2-201,ENSMUSG00000074918,Inafm2
ENSMUST00000224095.1,Gm47547-201,ENSMUSG00000114196,Gm47547
ENSMUST00000044616.9,Ints8-201,ENSMUSG00000040738,Ints8
ENSMUST00000020085.6,Ube2d1-201,ENSMUSG00000019927,Ube2d1
ENSMUST00000053364.11,Aspm-201,ENSMUSG00000033952,Aspm
ENSMUST00000021207.6,Rflnb-201,ENSMUSG00000020846,Rflnb
ENSMUST00000130771.1,Gm2044-201,ENSMUSG00000085354,Gm2044
ENSMUST00000048016.2,Fut11-201,ENSMUSG00000039357,Fut11
ENSMUST00000048375.5,Fam102a-201,ENSMUSG00000039157,Fam102a
ENSMUST00000060010.2,Slc16a13-201,ENSMUSG00000044367,Slc16a13
ENSMUST00000020826.5,Sap30l-201,ENSMUSG00000020519,Sap30l
ENSMUST00000132773.1,Itpripl1-202,ENSMUSG00000074825,Itpripl1
ENSMUST00000119943.7,Sacs-203,ENSMUSG00000048279,Sacs
ENSMUST00000045140.4,Tcaf1-202,ENSMUSG00000036667,Tcaf1
ENSMUST00000020980.11,Rrm2-201,ENSMUSG00000020649,Rrm2
ENSMUST00000036572.3,Tmem51-201,ENSMUSG00000040616,Tmem51
ENSMUST00000080406.6,Zfp251-201,ENSMUSG00000022526,Zfp251
ENSMUST00000028035.13,Cenpl-201,ENSMUSG00000026708,Cenpl
ENSMUST00000231361.1,Gm49709-201,ENSMUSG00000116989,Gm49709
ENSMUST00000131907.8,C130071C03Rik-201,ENSMUSG00000050334,C130071C03Rik
ENSMUST00000074829.3,Tlr12-201,ENSMUSG00000062545,Tlr12
ENSMUST00000230913.1,Lncppara-202,ENSMUSG00000116305,Lncppara
ENSMUST00000062002.5,Mafa-201,ENSMUSG00000047591,Mafa
ENSMUST00000022099.14,Lpcat1-201,ENSMUSG00000021608,Lpcat1
ENSMUST00000100807.2,Gm10392-201,ENSMUSG00000072673,Gm10392
ENSMUST00000065134.3,Ier5l-201,ENSMUSG00000089762,Ier5l
ENSMUST00000068641.7,Sertad3-201,ENSMUSG00000055200,Sertad3
ENSMUST00000126498.1,Gm13856-201,ENSMUSG00000087356,Gm13856
ENSMUST00000105801.8,Slc66a1-202,ENSMUSG00000028744,Slc66a1
ENSMUST00000213086.1,Cfap20-208,ENSMUSG00000031796,Cfap20
ENSMUST00000061455.8,Tent5c-201,ENSMUSG00000044468,Tent5c
ENSMUST00000177974.7,Atp2a2-202,ENSMUSG00000029467,Atp2a2
ENSMUST00000040538.9,Sccpdh-201,ENSMUSG00000038936,Sccpdh
ENSMUST00000093906.4,Birc5-202,ENSMUSG00000017716,Birc5
ENSMUST00000036742.13,Metrnl-201,ENSMUSG00000039208,Metrnl
ENSMUST00000216960.1,Gm47327-201,ENSMUSG00000111632,Gm47327
ENSMUST00000137134.1,Gm13584-201,ENSMUSG00000087539,Gm13584
ENSMUST00000034597.7,Tmprss13-201,ENSMUSG00000037129,Tmprss13
ENSMUST00000174512.3,Zfp101-204,ENSMUSG00000055240,Zfp101
ENSMUST00000054538.12,Arhgef39-201,ENSMUSG00000051517,Arhgef39
ENSMUST00000141696.1,Gm12359-202,ENSMUSG00000075576,Gm12359
ENSMUST00000115366.2,Slc12a2-201,ENSMUSG00000024597,Slc12a2
ENSMUST00000004050.6,Mmd-201,ENSMUSG00000003948,Mmd
ENSMUST00000227212.1,Gm49083-201,ENSMUSG00000115354,Gm49083
ENSMUST00000206202.1,Gm44985-201,ENSMUSG00000108688,Gm44985
ENSMUST00000054399.5,Ing1-201,ENSMUSG00000045969,Ing1
ENSMUST00000137771.1,Ldb1-205,ENSMUSG00000025223,Ldb1
ENSMUST00000235634.1,Tmx3-203,ENSMUSG00000024614,Tmx3
ENSMUST00000008528.7,Sertad1-201,ENSMUSG00000008384,Sertad1
ENSMUST00000150490.2,Gm53-204,ENSMUSG00000078706,Gm53
ENSMUST00000003154.6,Efna2-201,ENSMUSG00000003070,Efna2
ENSMUST00000181106.2,Gm26737-201,ENSMUSG00000097467,Gm26737
ENSMUST00000193053.5,Wdr20-205,ENSMUSG00000037957,Wdr20
ENSMUST00000038701.7,Zfp324-201,ENSMUSG00000004500,Zfp324
ENSMUST00000055458.5,Cdc42ep2-201,ENSMUSG00000045664,Cdc42ep2
ENSMUST00000040307.5,Marchf9-201,ENSMUSG00000040502,Marchf9
ENSMUST00000038149.12,Pbx2-201,ENSMUSG00000034673,Pbx2
ENSMUST00000172097.8,Spaca6-209,ENSMUSG00000080316,Spaca6
ENSMUST00000044970.6,Mgat3-201,ENSMUSG00000042428,Mgat3
ENSMUST00000103216.9,Dffa-202,ENSMUSG00000028974,Dffa
ENSMUST00000107554.1,Zkscan16-201,ENSMUSG00000038630,Zkscan16
ENSMUST00000077605.11,Eif4a2-202,ENSMUSG00000022884,Eif4a2
ENSMUST00000134289.1,Gm11611-201,ENSMUSG00000087042,Gm11611
ENSMUST00000192137.1,3222401L13Rik-202,ENSMUSG00000073590,3222401L13Rik
ENSMUST00000077788.6,Tnfaip8l1-201,ENSMUSG00000044469,Tnfaip8l1
ENSMUST00000163030.8,Setd1b-204,ENSMUSG00000038384,Setd1b
ENSMUST00000055244.12,Fubp3-201,ENSMUSG00000026843,Fubp3
ENSMUST00000132670.2,Scube3-202,ENSMUSG00000038677,Scube3
ENSMUST00000071296.10,2410002F23Rik-202,ENSMUSG00000045411,2410002F23Rik
ENSMUST00000201563.3,6720489N17Rik-202,ENSMUSG00000072066,6720489N17Rik
ENSMUST00000185419.6,Dnpep-203,ENSMUSG00000026209,Dnpep
ENSMUST00000082882.1,Gm22357-201,ENSMUSG00000064816,Gm22357
ENSMUST00000028279.9,Strbp-201,ENSMUSG00000026915,Strbp
ENSMUST00000033154.7,Plk1-201,ENSMUSG00000030867,Plk1
ENSMUST00000082420.1,mt-Te-201,ENSMUSG00000064369,mt-Te
ENSMUST00000043059.8,Sema7a-201,ENSMUSG00000038264,Sema7a
ENSMUST00000096368.3,Gspt2-201,ENSMUSG00000071723,Gspt2
ENSMUST00000084013.1,mt-Nd4l-201,ENSMUSG00000065947,mt-Nd4l
ENSMUST00000088095.5,Ncoa3-201,ENSMUSG00000027678,Ncoa3
ENSMUST00000181504.1,Foxf1-201,ENSMUSG00000042812,Foxf1
ENSMUST00000104937.1,Ankrd63-201,ENSMUSG00000078137,Ankrd63
ENSMUST00000121469.1,Reep1-201,ENSMUSG00000052852,Reep1
ENSMUST00000176824.7,Sik2-206,ENSMUSG00000037112,Sik2
