Target_genes,Score
Stat3,992.4534880000001
Tcstv3,916.732558
Stat1,780.127907
Txndc11,753.3604650000001
Sbno2,685.22093
Cldn34d,624.197674
Kpna1,584.709302
Junb,572.406977
Prdx2,571.5581400000001
Greb1,558.1744190000001
Skap2,557.0
Brox,554.476744
Aida,554.476744
Rpl22,546.593023
Rnf207,546.593023
Hexb,537.9418599999999
Unc13a,497.91860499999996
Jak3,497.91860499999996
Psmd3,494.0
Vps28,491.01162800000003
Slc39a4,491.01162800000003
Slc17a7,468.837209
Pih1d1,468.837209
Aldh16a1,468.837209
Gtf2a2,466.63953499999997
B3gntl1,462.337209
Lmna,442.151163
Bcl3,429.953488
Il31ra,429.94185999999996
Irf9,429.895349
Socs3,422.348837
Kri1,420.604651
Cdkn2d,420.604651
Etv6,415.674419
Tha1,414.127907
Gadd45b,407.767442
Gadd45g,405.093023
Lsm4,401.093023
Trappc2l,389.465116
Galns,389.465116
Akt2,386.837209
Tut1,384.465116
Sspn,381.616279
Mnt,375.953488
Ubb,373.767442
Tmed7,373.093023
Eif1a,373.093023
Fos,365.023256
Tnfaip8,355.546512
Bcl6,348.802326
Ier3,343.91860499999996
Flot1,343.91860499999996
Mcl1,343.267442
Tbc1d15,342.18604700000003
Cfap126,339.0
Ldha,337.674419
Zfp36,335.383721
Pim1,331.22092999999995
Plekhg2,330.162791
Nkx2-6,329.72092999999995
Rab18,329.27907000000005
Gpr146,316.18604700000003
E030030I06Rik,314.848837
Il6st,313.116279
Ccdc150,311.476744
Gmeb1,311.093023
Gcc1,310.337209
Fscn3,310.337209
Arf5,310.337209
Osbpl1a,309.930233
Map3k1,308.732558
Slc7a7,308.5
Bhlhe40,305.953488
Olfr806,305.755814
Cerk,304.94186
Mrpl52,304.616279
Mmp14,304.616279
Aldh9a1,303.837209
Slc41a1,303.22092999999995
Polg2,302.651163
Ddx5,302.651163
Cep95,302.651163
Eapp,302.465116
Icam1,301.22092999999995
Slc25a30,300.988372
Ptpn1,300.151163
Spsb1,299.616279
Tmem125,299.337209
Irf1,299.069767
Nfkbiz,298.616279
Tex14,298.069767
Amn1,297.825581
Sde2,294.55814
Irf2,293.0
Mllt6,290.848837
Arid5a,287.31395299999997
Abhd6,285.930233
Scp2,285.674419
C1rl,284.465116
Nsmce1,283.965116
Ikzf4,283.488372
Rsrc2,282.709302
Kntc1,282.709302
Olfr1274,277.767442
Pde12,277.44186
Tiparp,274.139535
Ly6a,273.22092999999995
Taf4b,272.348837
Btg2,269.639535
Cmtm6,269.337209
Man1a,268.55814
Wwox,267.546512
Serinc3,266.639535
Ralgds,265.91860499999996
Nup153,265.523256
Cox7a2,262.546512
Eef2kmt,260.511628
Zfp317,259.197674
Hivep2,257.290698
Trip11,257.18604700000003
Tmem176b,256.453488
Tmem176a,256.453488
Nudcd1,256.22092999999995
Eny2,256.22092999999995
Scamp3,252.604651
Fam189b,252.604651
Asmt,250.30232599999997
Birc3,250.209302
Nfkbia,249.77907000000002
Csf1,249.56976699999998
Gm525,249.406977
Prodh,249.27907000000002
Clic1,247.093023
Msh5,246.767442
Rtn4,244.872093
Taf12,244.174419
Htt,243.674419
Gstp3,243.593023
Tcf4,243.290698
H4c3,242.290698
H1f6,242.290698
Chmp4b,241.906977
Twf1,240.80232599999997
Hdac4,240.604651
Stag1,240.55813999999998
Nipsnap3b,239.372093
Ddah2,238.616279
Fosl2,237.08139500000001
Cd209a,237.03488399999998
Arl4d,237.023256
Mul1,235.41860499999999
Oasl1,235.25581400000002
Sirt4,235.03488399999998
H3c2,234.651163
Sco1,234.25581400000002
Adprm,234.25581400000002
Ly6c1,234.093023
Tbc1d32,233.883721
Fbxw4,233.68604700000003
Wdr77,233.55813999999998
Atp5pb,233.55813999999998
Apobec3,233.546512
H4c2,233.44186000000002
H4c1,233.44186000000002
H3c1,233.44186000000002
H1f1,233.44186000000002
Rapgef6,231.18604700000003
Tmub1,230.41860499999999
Fastk,230.41860499999999
Agap3,230.41860499999999
Slc39a1,230.116279
Rab4b,229.93023300000002
Mia,229.93023300000002
Muc1,229.86046499999998
Cep128,229.30232599999997
Lag3,229.18604700000003
Hspa8,229.104651
Ptms,229.093023
Stat2,229.046512
Apof,229.046512
Mrpl30,228.895349
Mitd1,228.895349
Camta1,228.627907
Stap2,227.976744
Mpnd,227.976744
Zscan12,227.872093
Arid5b,227.53488399999998
Gm3448,226.75581400000002
Gm3417,226.75581400000002
Cbr1,226.36046499999998
Setd4,226.19767400000003
Gm10710,225.732558
Dchs2,225.732558
Srebf1,225.43023300000002
Arih1,223.81395299999997
Ppp1ccb,222.651163
Ppp1cc,222.651163
Hook2,221.453488
Hnrnpa2b1,220.31395299999997
Cbx3,220.31395299999997
Txnip,220.27907000000002
Mt1,219.66279100000003
1810013L24Rik,219.593023
Acacb,219.30232599999997
Dpagt1,219.290698
Rsph3b,219.25581400000002
Ppp1r9b,219.05813999999998
Mt2,218.44186000000002
Tcte3,217.74418599999998
Mcidas,216.872093
Ccno,216.872093
Rnf19b,216.523256
Runx1,215.127907
Zfp36l1,215.03488399999998
Btg1,214.96511600000002
Capn1,214.872093
1600014C10Rik,214.790698
Vars,214.13953500000002
D17H6S56E-5,214.13953500000002
Serpinb6a,213.06976699999998
Gm3435,212.267442
Cic,211.546512
Ripk1,211.5
Aadacl2fm1,211.30232599999997
Orai1,211.046512
Rps29,210.627907
Lrr1,210.627907
Col6a6,210.53488399999998
Ino80c,210.395349
Myd88,209.98837200000003
Acaa1a,209.98837200000003
3300002I08Rik,209.232558
9030025P20Rik,209.22093
Atp2a2,209.197674
Dnajc8,208.209302
C87436,208.209302
Atpif1,208.209302
Rbm45,207.94186000000002
Cyct,207.94186000000002
H2bc6,207.209302
Stk19,206.813953
Dxo,206.813953
Zfp91,206.63953500000002
Lpxn,206.63953500000002
Taf5,206.43023300000002
Kif22,204.267442
Crem,204.197674
Map3k14,203.895349
Tle5,202.093023
Zc3h12d,201.813953
Prps1,200.976744
Nxt1,200.744186
Gzf1,200.744186
Nsun4,200.244186
Il18rap,200.011628
Tnfrsf1a,198.94186000000002
Snu13,198.86046499999998
Arf6,198.523256
Zfp58,198.511628
Slc35b2,198.313953
Rps28,198.116279
Gbp11,197.976744
Pabpc1,197.94186000000002
Creb3l4,196.883721
Gna11,196.72093
Tedc2,196.523256
Znfx1,196.372093
Abhd11,195.802326
Nipa2,195.372093
Ier2,195.22093
Btbd1,194.627907
Rsph3a,194.581395
Map3k8,194.0
Jund,193.953488
Iqcn,193.953488
Flvcr1,193.616279
Crebrf,193.406977
Irgm2,192.44186000000002
Malsu1,192.22093
Wbp1l,192.162791
Dnah7b,192.13953500000002
Cpeb4,191.883721
Nfxl1,191.86046499999998
Ankrd28,191.651163
Ermard,191.546512
Unk,190.953488
H3f3b,190.953488
Gpcpd1,190.56976699999998
Tars,190.209302
Elf2,190.011628
Coq10b,189.895349
Zbtb25,188.36046499999998
Zbtb1,188.36046499999998
Furin,187.383721
Gatad2a,187.023256
Ahnak,186.94186000000002
Pdgfb,186.802326
Arf2,186.755814
Uhrf1bp1l,186.72093
Rara,186.511628
Asxl1,186.232558
Nemf,186.13953500000002
Dpy19l3,186.05813999999998
Cstad,185.825581
Hsp90aa1,185.813953
Tnip2,185.44186000000002
Rela,184.895349
H4c4,184.418605
Hemk1,183.94186000000002
6430571L13Rik,183.94186000000002
H3c4,183.72093
H2bc7,183.511628
H2ac7,183.511628
Cish,183.453488
Zfp458,183.395349
Ctsb,183.186047
Samd14,182.72093
H3c15,182.313953
H3c14,182.313953
H2ac19,182.313953
H2ac18,182.313953
Mthfsl,181.883721
Hdac7,181.755814
Mapkapk3,181.5
Midn,181.465116
Malt1,181.418605
Gpr65,180.988372
Gbp7,180.883721
Gins1,180.825581
Rmdn1,180.406977
Cpne3,180.406977
Ddx3x,180.36046499999998
Sertad1,180.034884
Tnfrsf18,180.011628
Efemp2,179.755814
Ctsw,179.755814
Ptcd2,179.697674
Mrps27,179.697674
Cited2,179.534884
Ddit4,178.965116
Dnaja1,178.755814
Ifnar2,178.604651
Cebpd,178.302326
Rps9,177.837209
Elf3,177.802326
Mthfs,177.56976699999998
Gbp4,177.546512
Fam49b,177.313953
Lrrc25,175.56976699999998
Rac2,175.348837
Dennd4b,174.872093
Tnnc1,174.77907
Nisch,174.77907
Gps2,174.418605
Eif5a,174.418605
Syngr1,173.988372
Arl6ip1,173.895349
Rdm1,173.77907
Prss58,173.534884
Moxd2,173.534884
Syngap1,173.44186000000002
Phf1,173.44186000000002
Cuta,173.44186000000002
Tgfbi,172.825581
Tmem70,172.790698
Eloc,172.790698
Tpi1,172.77907
Spsb2,172.77907
Get4,172.395349
Utp23,171.767442
Ssbp4,171.697674
Mbd6,171.686047
Il1r1,171.523256
Agfg1,171.302326
Usp53,171.267442
Dusp1,171.081395
Mknk2,170.77907
Ddit3,170.546512
Fgr,170.406977
Entpd3,170.325581
