1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000039926.9,Dusp8-201,ENSMUSG00000037887,Dusp8
ENSMUST00000026475.14,Ddit3-201,ENSMUSG00000025408,Ddit3
ENSMUST00000100857.9,Dusp16-201,ENSMUSG00000030203,Dusp16
ENSMUST00000146857.1,Gm11274-201,ENSMUSG00000085331,Gm11274
ENSMUST00000080511.2,H1f5-201,ENSMUSG00000058773,Hist1h1b
ENSMUST00000021413.8,Nfkbia-201,ENSMUSG00000021025,Nfkbia
ENSMUST00000024988.14,C3-201,ENSMUSG00000024164,C3
ENSMUST00000027012.13,Casp4-201,ENSMUSG00000033538,Casp4
ENSMUST00000105105.3,H3c4-201,ENSMUSG00000099583,Hist1h3d
ENSMUST00000059619.2,Cdc42ep1-201,ENSMUSG00000049521,Cdc42ep1
ENSMUST00000031327.8,Cxcl1-201,ENSMUSG00000029380,Cxcl1
ENSMUST00000082388.1,mt-Rnr1-201,ENSMUSG00000064337,mt-Rnr1
ENSMUST00000110320.8,Zc3h6-202,ENSMUSG00000042851,Zc3h6
ENSMUST00000054960.7,Irf2bp2-201,ENSMUSG00000051495,Irf2bp2
ENSMUST00000040914.2,H1f2-201,ENSMUSG00000036181,Hist1h1c
ENSMUST00000204346.1,Gm43970-201,ENSMUSG00000107699,Gm43970
ENSMUST00000088787.6,Zfp948-201,ENSMUSG00000067931,Zfp948
ENSMUST00000169922.8,Chd2-203,ENSMUSG00000078671,Chd2
ENSMUST00000045301.8,H1f3-201,ENSMUSG00000052565,Hist1h1d
ENSMUST00000097981.5,Cdkn2b-201,ENSMUSG00000073802,Cdkn2b
ENSMUST00000102864.4,Rel-201,ENSMUSG00000020275,Rel
ENSMUST00000015456.9,Gadd45b-201,ENSMUSG00000015312,Gadd45b
ENSMUST00000110452.1,H2bc11-201,ENSMUSG00000069300,Hist1h2bj
ENSMUST00000219238.1,Arid5b-204,ENSMUSG00000019947,Arid5b
ENSMUST00000130657.7,E230016M11Rik-201,ENSMUSG00000087231,E230016M11Rik
ENSMUST00000029623.10,Tlr2-201,ENSMUSG00000027995,Tlr2
ENSMUST00000238478.1,Gm10382-202,ENSMUSG00000072612,Gm10382
ENSMUST00000067384.5,Rhob-201,ENSMUSG00000054364,Rhob
ENSMUST00000031017.10,Fosl2-201,ENSMUSG00000029135,Fosl2
ENSMUST00000091709.2,H2bc15-201,ENSMUSG00000095217,Hist1h2bn
ENSMUST00000036884.2,Klf9-201,ENSMUSG00000033863,Klf9
ENSMUST00000029771.12,F3-201,ENSMUSG00000028128,F3
ENSMUST00000102977.3,H4c9-201,ENSMUSG00000060639,Hist1h4i
ENSMUST00000069125.7,Calhm5-201,ENSMUSG00000049872,Fam26e
ENSMUST00000033979.5,Star-201,ENSMUSG00000031574,Star
ENSMUST00000125308.2,Gm15283-201,ENSMUSG00000087700,Gm15283
ENSMUST00000099356.9,Arrdc3-201,ENSMUSG00000074794,Arrdc3
ENSMUST00000181773.1,Gm26759-201,ENSMUSG00000097060,Gm26759
ENSMUST00000162645.7,Zmiz1-208,ENSMUSG00000007817,Zmiz1
ENSMUST00000187142.2,Zfp469-202,ENSMUSG00000043903,Zfp469
ENSMUST00000186844.1,Gm28592-201,ENSMUSG00000100113,Gm28592
ENSMUST00000130491.2,Cebpg-202,ENSMUSG00000056216,Cebpg
ENSMUST00000096350.10,Maff-201,ENSMUSG00000042622,Maff
ENSMUST00000059295.9,Syt12-201,ENSMUSG00000049303,Syt12
ENSMUST00000105686.2,Slc25a33-201,ENSMUSG00000028982,Slc25a33
ENSMUST00000109605.4,Atf4-201,ENSMUSG00000042406,Atf4
ENSMUST00000023501.15,Cfap91-201,ENSMUSG00000022805,Maats1
ENSMUST00000090543.5,Nr1d2-201,ENSMUSG00000021775,Nr1d2
ENSMUST00000047906.9,Tiparp-201,ENSMUSG00000034640,Tiparp
ENSMUST00000069604.14,Mthfr-201,ENSMUSG00000029009,Mthfr
ENSMUST00000013949.14,Birc3-201,ENSMUSG00000032000,Birc3
ENSMUST00000056749.13,Nhlrc3-201,ENSMUSG00000042997,Nhlrc3
ENSMUST00000049357.9,Pnrc1-201,ENSMUSG00000040128,Pnrc1
ENSMUST00000038422.7,Irf2bpl-201,ENSMUSG00000034168,Irf2bpl
ENSMUST00000079251.7,H2bc8-201,ENSMUSG00000058385,Hist1h2bg
ENSMUST00000096430.10,Zhx2-201,ENSMUSG00000071757,Zhx2
ENSMUST00000071065.7,Nfil3-201,ENSMUSG00000056749,Nfil3
ENSMUST00000098750.4,Lrif1-201,ENSMUSG00000056260,Lrif1
ENSMUST00000238260.1,Gm17334-202,ENSMUSG00000091191,Gm17334
ENSMUST00000066743.10,Adnp2-201,ENSMUSG00000053950,Adnp2
ENSMUST00000018246.5,H2bc4-201,ENSMUSG00000018102,Hist1h2bc
ENSMUST00000021324.2,Map3k14-201,ENSMUSG00000020941,Map3k14
ENSMUST00000238230.1,Gm10130-202,ENSMUSG00000095315,Gm10130
ENSMUST00000041683.8,Usp22-201,ENSMUSG00000042506,Usp22
ENSMUST00000057927.9,Rasip1-201,ENSMUSG00000044562,Rasip1
ENSMUST00000060148.5,Hivep1-201,ENSMUSG00000021366,Hivep1
ENSMUST00000000291.8,Mnt-201,ENSMUSG00000000282,Mnt
ENSMUST00000032194.10,Bhlhe40-201,ENSMUSG00000030103,Bhlhe40
ENSMUST00000032386.10,Bhlhe41-201,ENSMUSG00000030256,Bhlhe41
ENSMUST00000211533.1,A030001D20Rik-201,ENSMUSG00000110357,A030001D20Rik
ENSMUST00000086399.5,Icam1-201,ENSMUSG00000037405,Icam1
ENSMUST00000110341.8,Bcl2l11-205,ENSMUSG00000027381,Bcl2l11
ENSMUST00000022709.5,Spry2-201,ENSMUSG00000022114,Spry2
ENSMUST00000062045.3,H1f4-201,ENSMUSG00000051627,Hist1h1e
ENSMUST00000216917.1,Gm47079-201,ENSMUSG00000110790,Gm47079
ENSMUST00000102983.1,H4c12-201,ENSMUSG00000064288,Hist1h4k
ENSMUST00000020712.4,4921536K21Rik-201,ENSMUSG00000020434,4921536K21Rik
ENSMUST00000203443.1,Gm43909-201,ENSMUSG00000108126,Gm43909
ENSMUST00000230616.1,Sec14l5-202,ENSMUSG00000091712,Sec14l5
ENSMUST00000090776.6,H2ac7-201,ENSMUSG00000071478,Hist1h2ad
ENSMUST00000026703.5,Bach1-201,ENSMUSG00000025612,Bach1
ENSMUST00000028926.12,Napb-201,ENSMUSG00000027438,Napb
ENSMUST00000105502.7,Foxo3-203,ENSMUSG00000048756,Foxo3
