transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000198018.1,0,0,0
ENSMUST00000183460.1,0,0,0
ENSMUST00000184934.1,0,0,0
ENSMUST00000099326.9,0,0,0
ENSMUST00000200671.1,0,0,0
ENSMUST00000184987.1,0,0,0
ENSMUST00000185085.1,0,0,0
ENSMUST00000238490.1,0,0,0
ENSMUST00000053308.9,0,0,0
ENSMUST00000199558.1,0,0,0
ENSMUST00000122675.1,0,0,0
ENSMUST00000184881.1,0,0,0
ENSMUST00000197197.1,0,0,0
ENSMUST00000178723.1,0,0,0
ENSMUST00000175021.2,0,0,0
ENSMUST00000175624.2,0,0,0
ENSMUST00000198851.1,0,0,0
ENSMUST00000158766.1,0,0,0
ENSMUST00000116880.1,0,0,0
ENSMUST00000175017.1,0,0,0
