Target_genes	SOX17|Average	SRX702102|hESC_derived_mesendodermal_cells	SRX702103|hESC_derived_mesendodermal_cells	SRX702104|hESC_derived_mesendodermal_cells	SRX702101|hESC_HUES64	SRX5771670|Tcam-2	SRX5771672|Tcam-2	SRX5771674|Tcam-2	STRING
FAM222B	482.000000	0	0	0	0	1234	1015	1125	0
NANOS3	470.428571	0	0	0	0	1216	942	1135	0
TUBB	469.857143	0	0	0	0	1117	980	1192	0
MDC1	469.857143	0	0	0	0	1117	980	1192	0
OLFM2	455.571429	0	0	0	0	1135	987	1067	0
CPVL	440.285714	0	0	0	0	1151	972	959	0
CHN2	440.285714	0	0	0	0	1151	972	959	0
OCM	439.714286	0	0	0	0	1015	1057	1006	0
CYP4A22	437.714286	0	0	0	0	1124	1010	930	0
COL17A1	433.857143	0	0	0	0	1045	912	1080	0
KIAA0513	421.000000	0	0	0	0	1070	838	1039	0
NDUFB6	419.571429	0	0	0	0	1186	952	799	0
GLDC	416.428571	0	0	0	0	1016	822	1077	0
PPP2R5A	414.428571	0	0	191	0	1107	859	744	0
SAMHD1	408.571429	0	0	139	0	999	801	921	0
RAB11B	406.285714	0	0	0	0	1005	765	1074	0
FGF13	400.857143	0	0	0	0	962	955	889	0
XPNPEP1	400.142857	0	0	0	0	1067	736	998	0
PSAP	396.857143	0	0	0	0	987	947	844	0
IFT80	393.000000	0	0	0	0	1175	769	807	0
ZNF281	390.285714	0	0	0	0	1067	810	855	0
CPSF4L	384.714286	0	0	0	0	1010	853	830	0
DDX11	381.857143	0	0	0	0	1091	833	749	0
LYPD6B	379.000000	0	0	0	0	1092	798	763	0
MUC4	377.142857	0	0	0	0	994	798	848	0
BICD1	376.714286	0	0	0	0	881	789	967	0
PLOD1	372.000000	0	0	0	0	939	781	884	0
KIAA2013	372.000000	0	0	0	0	939	781	884	0
RACGAP1	370.000000	0	213	123	212	740	657	645	0
TCP11L1	369.714286	0	294	120	165	807	604	598	0
WDHD1	369.285714	0	0	0	0	957	807	821	0
SOCS4	369.285714	0	0	0	0	957	807	821	0
PIM2	368.428571	0	0	0	0	921	727	931	0
COL4A2	367.571429	0	0	0	0	1105	696	772	0
COL4A1	367.571429	0	0	0	0	1105	696	772	0
SP2	366.714286	0	0	0	108	895	681	883	0
IRX1	365.571429	0	0	0	0	801	753	1005	0
GET4	365.571429	0	0	0	0	870	817	872	0
GSX1	364.857143	0	0	0	0	999	699	856	0
TMEM60	363.571429	0	0	0	0	921	770	854	0
PHTF2	363.571429	0	0	0	0	921	770	854	0
MT1E	362.000000	0	0	0	0	1013	859	662	0
HACD2	360.714286	0	259	245	236	740	488	557	0
TENT5B	360.000000	0	0	0	0	982	741	797	0
KLHL3	358.857143	0	0	0	0	871	753	888	0
ZNF649	357.285714	0	536	424	417	507	328	289	0
CYP4X1	355.285714	0	0	0	0	991	680	816	0
KNTC1	355.142857	0	117	0	0	935	762	672	0
NMNAT2	354.571429	0	0	0	0	939	737	806	0
KIAA0319	352.428571	0	0	0	0	986	723	758	0
KDELR2	348.571429	0	0	0	0	981	812	647	0
DPPA5	347.285714	0	0	0	0	793	829	809	0
ZNF335	347.000000	0	0	0	0	836	813	780	0
EXOC7	347.000000	0	0	0	0	1008	783	638	0
SRGAP1	346.428571	0	0	0	0	936	726	763	0
NDUFV1	344.142857	0	0	0	0	896	687	826	0
SGIP1	342.000000	0	0	0	0	888	780	726	0
SNX16	341.285714	0	142	0	0	1007	558	682	0
RNF11	340.428571	0	0	0	0	853	780	750	0
LRRC59	336.857143	0	0	0	0	917	707	734	0
ZNF724	336.000000	0	0	0	0	912	766	674	0
NCALD	335.142857	0	0	0	0	884	719	743	0
WFDC6	334.285714	0	0	0	0	881	621	838	0
EPPIN-WFDC6	334.285714	0	0	0	0	881	621	838	0
EPPIN	334.285714	0	0	0	0	881	621	838	0
DHRS3	334.285714	0	167	0	0	835	577	761	0
SHCBP1L	334.142857	0	0	0	0	932	733	674	0
PLEKHA1	333.857143	0	0	0	0	702	734	901	0
ASB1	333.428571	0	0	0	0	985	705	644	0
ZNF875	333.000000	0	0	0	0	846	724	761	0
ITPRIP	332.714286	0	0	0	0	853	730	746	0
ZNF511	332.571429	0	0	0	0	878	719	731	0
TUBGCP2	332.571429	0	0	0	0	878	719	731	0
ZC3H3	331.285714	0	0	0	0	1044	676	599	0
SUSD3	330.142857	0	0	0	0	985	569	757	0
FGF6	329.142857	0	0	0	0	975	568	761	0
C5orf60	327.285714	0	0	0	0	865	651	775	0
DKK1	326.428571	0	0	0	0	887	590	808	0
TXNDC15	325.142857	0	497	266	302	554	269	388	0
PDE2A	323.857143	0	0	0	0	883	730	654	0
