Target_genes,Score
FAM222B,482.0
NANOS3,470.428571
TUBB,469.85714299999995
MDC1,469.85714299999995
OLFM2,455.571429
CPVL,440.285714
CHN2,440.285714
OCM,439.714286
CYP4A22,437.714286
COL17A1,433.85714299999995
KIAA0513,421.0
NDUFB6,419.571429
GLDC,416.428571
PPP2R5A,414.428571
SAMHD1,408.571429
RAB11B,406.28571400000004
FGF13,400.857143
XPNPEP1,400.142857
PSAP,396.857143
IFT80,393.0
ZNF281,390.28571400000004
CPSF4L,384.71428599999996
DDX11,381.857143
LYPD6B,379.0
MUC4,377.142857
BICD1,376.71428599999996
PLOD1,372.0
KIAA2013,372.0
RACGAP1,370.0
TCP11L1,369.71428599999996
WDHD1,369.28571400000004
SOCS4,369.28571400000004
PIM2,368.428571
COL4A2,367.571429
COL4A1,367.571429
SP2,366.71428599999996
IRX1,365.571429
GET4,365.571429
GSX1,364.857143
TMEM60,363.571429
PHTF2,363.571429
MT1E,362.0
HACD2,360.71428599999996
TENT5B,360.0
KLHL3,358.857143
ZNF649,357.28571400000004
CYP4X1,355.28571400000004
KNTC1,355.142857
NMNAT2,354.571429
KIAA0319,352.428571
KDELR2,348.571429
DPPA5,347.28571400000004
ZNF335,347.0
EXOC7,347.0
SRGAP1,346.428571
NDUFV1,344.142857
SGIP1,342.0
SNX16,341.28571400000004
RNF11,340.428571
LRRC59,336.857143
ZNF724,336.0
NCALD,335.142857
WFDC6,334.28571400000004
EPPIN-WFDC6,334.28571400000004
EPPIN,334.28571400000004
DHRS3,334.28571400000004
SHCBP1L,334.142857
PLEKHA1,333.857143
ASB1,333.428571
ZNF875,333.0
ITPRIP,332.71428599999996
ZNF511,332.571429
TUBGCP2,332.571429
ZC3H3,331.28571400000004
SUSD3,330.142857
FGF6,329.142857
C5orf60,327.28571400000004
DKK1,326.428571
TXNDC15,325.142857
PDE2A,323.857143
PPFIBP2,323.142857
RCC2,322.71428599999996
NACAD,321.571429
SMARCA2,321.28571400000004
PRODH,321.28571400000004
LOC102724788,321.28571400000004
MRPL20,321.0
APCDD1,320.428571
NAV2,320.0
CAPN13,319.142857
SERINC5,317.71428599999996
ACSF2,317.142857
C2orf49,316.71428599999996
ACSL3,316.0
PPM1A,315.71428599999996
SNCA,315.142857
FKBP4,315.0
ZNF432,314.71428599999996
IRAK1BP1,314.571429
CRYGB,314.0
TCF4,313.857143
TMCC1,313.428571
RMND5B,313.28571400000004
PCDH1,313.28571400000004
IL20,313.142857
PUF60,312.0
NRBP2,312.0
LHFPL4,311.428571
TESK2,311.28571400000004
MMACHC,311.28571400000004
DET1,310.142857
FAM20A,308.857143
GYS2,308.428571
TFDP2,308.28571400000004
NCEH1,308.0
TRIM2,305.428571
ZNF565,305.0
BEND7,305.0
ENSA,304.571429
PRDM1,304.28571400000004
ECE1,304.28571400000004
RNASEL,303.71428599999996
PRR23B,303.71428599999996
PCDHB9,303.142857
PCDHB8,303.142857
PCDHB7,303.142857
PCDHB16,303.142857
RCL1,302.71428599999996
LRRC10B,302.428571
SLC25A16,301.857143
OR6C3,301.857143
CD180,301.0
FAM193B,300.857143
IGSF5,300.28571400000004
PCP4L1,300.0
MFSD4B,299.28571400000004
HMG20B,298.28571400000004
FYCO1,298.28571400000004
C8orf58,297.571429
RHPN2,296.142857
NVL,295.857143
REST,295.142857
RNF186,295.0
RNF19B,294.142857
NDUFAB1,294.142857
VANGL2,293.428571
CLCN4,292.857143
DRD1,292.71428599999996
PFKP,291.857143
NLRP9,291.28571400000004
AACS,291.28571400000004
WDR55,290.142857
DND1,290.142857
