Target_genes	SOX9|Average	SRX718108|hESC_derived_pancreatic_cells	SRX4065343|hESC_derived_retinal_cells	SRX4065344|hESC_derived_retinal_cells	SRX4065345|hESC_derived_retinal_cells	SRX4065346|hESC_derived_retinal_cells	SRX4065347|hESC_derived_retinal_cells	SRX4065348|hESC_derived_retinal_cells	SRX768290|HT-29	SRX359919|LoVo	SRX1510444|VCaP	STRING
ARRDC4	398.700000	0	245	233	119	221	290	188	1965	0	726	0
DUX4	374.900000	378	325	423	218	314	419	376	473	249	574	0
MTRNR2L2	348.000000	821	0	0	165	192	0	0	742	1123	437	0
MSH3	348.000000	821	0	0	165	192	0	0	742	1123	437	0
DOLPP1	342.200000	0	128	132	133	192	202	193	1777	0	665	0
MTRNR2L8	335.800000	761	0	0	0	107	0	0	592	1457	441	0
KIF5C	301.200000	847	0	0	0	0	0	0	779	591	795	0
ZBTB32	295.900000	0	117	119	123	135	148	206	1780	0	331	0
PTPRN2	291.400000	502	222	286	249	187	308	312	0	521	327	0
SLC25A41	286.000000	0	200	202	100	122	174	176	1495	0	391	0
KHSRP	286.000000	0	200	202	100	122	174	176	1495	0	391	0
POR	275.300000	0	0	0	0	0	0	0	2623	130	0	0
MAMDC2	263.800000	658	186	165	172	148	191	157	84	537	340	0
ZNF775	262.900000	0	184	136	88	0	172	0	1559	0	490	0
WDR97	262.800000	0	126	148	97	0	89	149	1412	203	404	0
SHARPIN	262.800000	0	126	148	97	0	89	149	1412	203	404	0
MAF1	262.800000	0	126	148	97	0	89	149	1412	203	404	0
CYC1	262.800000	0	126	148	97	0	89	149	1412	203	404	0
IQCH	255.100000	0	0	0	0	0	0	0	2438	113	0	0
AAGAB	255.100000	0	0	0	0	0	0	0	2438	113	0	0
RNF13	249.300000	0	117	119	0	0	155	111	1401	158	432	0
CLDN9	249.200000	0	138	123	136	83	88	78	1461	0	385	0
RGPD2	248.400000	648	0	0	0	0	0	0	336	882	618	0
POLG	248.200000	0	0	0	0	0	0	0	2238	244	0	0
PARK7	240.300000	0	0	0	0	0	0	0	2277	126	0	0
SPATC1L	231.500000	110	104	0	0	0	113	94	1227	0	667	0
SNX16	227.100000	0	384	293	347	264	492	491	0	0	0	0
HMGCS1	226.100000	0	101	106	110	124	135	80	1134	88	383	0
SLC35E2B	225.400000	0	0	0	0	0	0	0	2108	0	146	0
STIP1	224.300000	0	69	0	0	0	0	0	1532	85	557	0
TAF15	223.400000	0	0	0	0	0	0	0	2112	122	0	0
KAT7	223.400000	0	0	0	0	98	102	143	1297	169	425	0
RASSF7	218.900000	0	0	102	0	0	115	109	1500	0	363	0
LMNTD2	218.900000	0	0	102	0	0	115	109	1500	0	363	0
CNOT6	215.600000	0	0	0	0	0	0	0	2053	0	103	0
TMEM160	215.500000	0	0	0	0	0	0	0	1836	0	319	0
SNAP29	214.900000	0	0	0	0	0	0	0	2149	0	0	0
PI4KA	214.900000	0	0	0	0	0	0	0	2149	0	0	0
PPIB	211.500000	0	0	0	0	0	0	0	2115	0	0	0
PITPNM1	204.900000	0	0	0	0	0	0	0	1595	0	454	0
MRPS24	202.200000	0	0	0	0	0	0	0	2022	0	0	0
UBE2C	200.900000	0	0	0	0	0	0	0	1773	0	236	0
PHRF1	199.200000	188	0	0	0	0	0	0	1648	156	0	0
AKIRIN1	197.900000	0	0	0	0	0	0	0	1979	0	0	0
CIC	197.400000	0	0	57	0	0	0	0	1545	93	279	0
PRR19	193.100000	0	0	0	0	0	0	0	1771	160	0	0
PAFAH1B3	193.100000	0	0	0	0	0	0	0	1771	160	0	0
TEPSIN	191.500000	0	0	105	0	0	0	0	1355	0	455	0
NDUFAF8	191.500000	0	0	105	0	0	0	0	1355	0	455	0
ZNF8	189.800000	0	0	74	0	0	0	0	1530	93	201	0
SLC35E2A	187.900000	0	0	0	0	0	0	0	1707	0	172	0
PFDN4	187.400000	0	0	0	0	0	0	0	1874	0	0	0
PROSER3	186.400000	0	0	0	0	0	0	0	1768	0	96	0
LIN37	186.400000	0	0	0	0	0	0	0	1768	0	96	0
HSPB6	186.400000	0	0	0	0	0	0	0	1768	0	96	0
FAM72C	186.000000	0	119	107	143	90	123	130	831	149	168	0
MRPL20	184.200000	0	0	77	0	0	0	0	1314	0	451	0
CCNL2	184.200000	0	0	77	0	0	0	0	1314	0	451	0
HNRNPL	184.000000	0	0	92	0	0	0	0	1453	0	295	0
NOP56	183.600000	0	0	0	0	0	0	0	1836	0	0	0
COL23A1	180.700000	724	0	0	0	0	0	0	389	267	427	0
ARAF	179.100000	0	120	109	0	0	110	87	1268	0	97	0
CNOT3	177.600000	165	0	0	0	0	0	0	1384	0	227	0
RNASEH2A	175.800000	0	0	0	0	0	0	0	1758	0	0	0
PRDX2	175.800000	0	0	0	0	0	0	0	1758	0	0	0
RAB4B	174.800000	0	0	0	0	0	0	0	1422	0	326	0
MIA	174.800000	0	0	0	0	0	0	0	1422	0	326	0
PTOV1	174.600000	0	0	0	0	0	0	0	1746	0	0	0
MTRNR2L1	171.900000	451	0	0	0	152	0	0	334	127	655	0
HHIPL1	171.800000	0	0	0	0	0	0	0	1615	0	103	0
CCDC85C	171.800000	0	0	0	0	0	0	0	1615	0	103	0
RRM2	171.400000	0	127	143	89	0	142	181	672	0	360	0
CNOT1	171.100000	0	0	0	0	0	78	90	1253	0	290	0
SRGAP2B	170.900000	0	91	62	143	90	89	86	831	149	168	0
OGA	170.900000	0	0	0	0	0	0	0	1709	0	0	0
FAM72D	170.900000	0	91	62	143	90	89	86	831	149	168	0
MYO9B	170.300000	0	0	0	0	0	0	0	1703	0	0	0
HAUS8	170.300000	0	0	0	0	0	0	0	1703	0	0	0
